,supplier,tariff_name,supply_region,plan_type,discount,duration,standing_charge,el_pso_levy,day_unit,peak_unit,night_unit,ev_unit,ev_overage_unit,ev_kwh_limit,fit_unit,extra,cash_bonus,update_date,gas_discount,gas_standing_charge,gas_unit_rate,gas_carbon_tax
156,SSE Airtricity,NS-24h Standard meter Top discount,urban,24h,0.3500,12 months,240.977200,42.248400,24.4149100000,24.4149100000,24.4149100000,,,,19.5000,[],0.000000,2025-06-24,,,,
157,SSE Airtricity,NS-24h Standard meter Top discount,rural,24h,0.3500,12 months,302.485900,42.248400,24.4149100000,24.4149100000,24.4149100000,,,,19.5000,[],0.000000,2025-06-24,,,,
168,SSE Airtricity,NS-24h Standard meter Top discount,urban dual,24h,0.3500,12 months,240.977200,42.248400,24.4149100000,24.4149100000,24.4149100000,,,,19.5000,[],0.000000,2025-07-31,0.3000,152.294800,7.9657200000,1.251320
169,SSE Airtricity,NS-24h Standard meter Top discount,rural dual,24h,0.3500,12 months,302.485900,42.248400,24.4149100000,24.4149100000,24.4149100000,,,,19.5000,[],0.000000,2025-07-31,0.3000,152.294800,7.9657200000,1.251320
158,SSE Airtricity,NS-24h Standard meter Top discount + Welcome Credit,urban,24h,0.3000,12 months,240.977200,42.248400,26.2929800000,26.2929800000,26.2929800000,,,,19.5000,[],125.001200,2025-06-24,,,,
159,SSE Airtricity,NS-24h Standard meter Top discount + Welcome Credit,rural,24h,0.3000,12 months,302.485900,42.248400,26.2929800000,26.2929800000,26.2929800000,,,,19.5000,[],125.001200,2025-06-24,,,,
172,SSE Airtricity,NS-24h Standard meter Top discount + Welcome Credit,urban dual,24h,0.3000,12 months,240.977200,42.248400,26.2929800000,26.2929800000,26.2929800000,,,,19.5000,[],125.001200,2025-07-31,0.3000,152.294800,7.9657200000,1.251320
173,SSE Airtricity,NS-24h Standard meter Top discount + Welcome Credit,rural dual,24h,0.3000,12 months,302.485900,42.248400,26.2929800000,26.2929800000,26.2929800000,,,,19.5000,[],125.001200,2025-07-31,0.3000,152.294800,7.9657200000,1.251320
36,FloGas,NS-DN 30% Discount Single Electricity,urban,day/night,0.3000,12 months,331.327300,42.248400,28.8642900000,28.8642900000,13.9857900000,,,,18.5000,[],0.000000,2025-06-10,,,,
37,FloGas,NS-DN 30% Discount Single Electricity,rural,day/night,0.3000,12 months,422.233300,42.248400,28.8642900000,28.8642900000,13.9857900000,,,,18.5000,[],0.000000,2025-06-10,,,,
